scenario,family,model,flip_rate,proximity,plausibility,sparsity
fl_ldp_eps1_eg_dp,rf,eg_dp_rf,0.9,0.07367476383265856,0.94,0.82
fl_ldp_eps1_eg_dp,xgb,eg_dp_xgb,0.98,0.05015879442195231,0.96,0.855
fl_ldp_eps1_eg_eo,lr,eg_eo_lr,0.76,0.1924035087719298,0.94,0.795
fl_ldp_eps1_eg_eo,rf,eg_eo_rf,0.96,0.07633333333333332,0.94,0.815
fl_ldp_eps1_eg_eo,xgb,eg_eo_xgb,0.96,0.04792307692307692,0.96,0.855
fl_ldp_eps1_eg_tpr,lr,eg_tpr_lr,0.96,0.19220107962213223,0.94,0.79
fl_ldp_eps1_eg_tpr,rf,eg_tpr_rf,0.98,0.07344534412955465,0.94,0.825
fl_ldp_eps1_eg_tpr,xgb,eg_tpr_xgb,0.94,0.048246963562753035,0.96,0.8575
fl_ldp_eps1_gs_dp,lr,gs_dp_lr,1.0,0.18509806567701306,0.94,0.8125
fl_ldp_eps1_gs_dp,rf,gs_dp_rf,1.0,0.07708906882591095,0.96,0.8275
fl_ldp_eps1_gs_dp,xgb,gs_dp_xgb,1.0,0.04282051282051281,0.98,0.865
fl_ldp_eps1_gs_eo,lr,gs_eo_lr,1.0,0.194523616734143,0.9,0.795
fl_ldp_eps1_gs_eo,rf,gs_eo_rf,1.0,0.08011470985155195,0.94,0.815
fl_ldp_eps1_gs_eo,xgb,gs_eo_xgb,1.0,0.05186369770580296,0.96,0.845
fl_ldp_eps1_to_dp,lr,to_dp_lr,0.66,0.2152433648223122,1.0,0.8
fl_ldp_eps1_to_dp,rf,to_dp_rf,0.92,0.08011470985155195,0.94,0.815
fl_ldp_eps1_to_dp,xgb,to_dp_xgb,0.92,0.05186369770580296,0.96,0.845
fl_ldp_eps1_to_eo,lr,to_eo_lr,0.6,0.2152433648223122,1.0,0.8
fl_ldp_eps1_to_eo,rf,to_eo_rf,0.86,0.08011470985155195,0.94,0.815
fl_ldp_eps1_to_eo,xgb,to_eo_xgb,0.84,0.05186369770580296,0.96,0.845
ldp_baseline_eps3,logistic_regression,ldp_baseline_eps3_logistic_regression,1.0,0.21259694107062527,0.98,0.8075
ldp_baseline_eps3,random_forest,ldp_baseline_eps3_random_forest,1.0,0.07523346828609986,0.9,0.8125
